mapped_id,pharmacologicalFamily,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance
BY,alpha,14.38171,14.7111225,8.321192,-0.9931108,-0.02228929,0.46372294,
BZ,alpha,15.14161,11.854366,9.987048,-0.3731272,1.5165886,0.118051045,
CA,alpha,13.405412,15.344286,7.8280644,-0.91460013,-0.42739874,0.11289916,
CB,alpha,14.630924,15.613754,6.8656464,-1.124639,-1.0611274,0.6076931,
CC,alpha,13.65263,14.651314,8.896647,-0.9782425,-0.23989964,0.16118383,
CD,alpha,13.873934,14.886889,11.029132,-1.076598,-0.6155349,-0.46870318,
CE,alpha,14.11166,14.659298,11.208791,-1.0958233,-0.5082519,-0.2770078,
CF,alpha,14.099691,14.978214,7.6226296,-0.8566399,-0.55319923,0.7006482,
CG,alpha,15.732456,12.299322,9.391109,-0.52728677,0.80921733,-0.29211295,
CH,alpha,13.763869,14.271673,11.193553,-1.0081336,-0.5488626,0.15684591,
CI,alpha,14.82229,16.290283,6.569959,-1.1279877,-1.1742098,0.6225444,
CJ,alpha,13.786698,14.265883,7.3758526,-0.8584332,-0.12038478,0.7772532,
CK,alpha,13.629767,13.995039,7.4557233,-0.9419908,-0.21033655,0.7366994,
CL,alpha,14.770619,12.77551,9.696951,-0.75739485,0.46802866,-0.17554648,
CM,alpha,15.005316,12.534365,9.376272,-0.6809693,0.52609617,-0.021913629,
CN,alpha,14.767163,15.586863,6.555234,-1.1000148,-0.953757,0.44313467,
CO,alpha,14.398968,15.495513,7.0110145,-1.1133754,-1.0082059,0.6390462,
CP,alpha,14.932428,13.287044,9.296236,-0.87008584,0.36532766,-0.19425097,
CQ,alpha,15.025702,12.908647,9.55372,-0.8423394,0.39901862,-0.1825243,
